name;battue;latitude;longitude;horizontalAccuracy;verticalAccuracy
L19;;49.6163538979737;5.6419043256356;4.67630733499045;3.45784423326202
L20;;49.6152188634619;5.64306774132291;4.73561656348825;3.37616243631798
L21;;49.6133513564124;5.64482956676028;4.74977825023218;3.35620970834812
L22;;49.6126195735711;5.64349631541106;4.82851569420063;3.24190888577194
L23;;49.6118167508859;5.64167252742279;4.24643456469171;4.05263992060564
P forgettes;;49.6206698960306;5.66163887025986;4.8384168342974;3.22711319454034
Coin forgettes 1;;49.6238473384175;5.66176503897241;4.7175018618471;6.00003095502323
P2 forgettes;;49.6305779647547;5.66585423425368;5.38180474240208;8
P3 forgettes;;49.6288297931195;5.6695244181954;7.636232403932;8
P4 gorgettes ;;49.6258246213365;5.67025217439154;4.16928019600428;6.00167343996786
P5 forgettes ;;49.6202362393776;5.67203406123663;4.94070510757095;3.06821936517114
 P6;;49.61880558175;5.66806764342419;5.82501604004983;8
LP;;49.6157691954166;5.62625301071035;5.30452941195439;8
L7;;49.6164956130553;5.62579091638851;5.29971600599959;7.99999999999998
L8;;49.6174970409367;5.62637957744824;5.07349758750802;6
L9;;49.617908718111;5.62753871083784;4.51304798735964;6.00065852771629
L6;;49.6144225588534;5.62704686075973;4.76145499308877;5.99999999999998
L5;;49.6134137129876;5.62772344798374;4.75862979335113;6
LX;;49.6129262214992;5.6281313952111;5.49967888327196;5.99999999999999
L4;;49.6118193492759;5.62885357998836;5.40013441388316;5.99999999999998
L3;;49.610939292202;5.62951863850441;5.02551167932806;2.92724604256734
L2;;49.6099989256352;5.62975471839833;3.8224144754549;6
L1;;49.6092065843284;5.63007909805107;4.91087386906727;8
L27;;49.6099876100659;5.63674405217696;4.78301849951256;6
L26;;49.6105756274264;5.63766010629148;5.47694692386703;2.03658956121602
L26 (white paint);;49.6108274439441;5.63832148687987;8.71713833772479;2.21715932942151
L25;;49.6110643706335;5.63918650292713;5.33573794374072;2.46270239625701
L24;;49.6115432493851;5.64031952061284;5.23807114444856;6
